                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.02548,                0.88696,                      1,                0.43759,              0.0001438,              0.0001438,              0.0001438
                    124,                0.01163,                0.88696,                      1,                0.41989,             0.00013909,             0.00013909,             0.00013909
                    125,                0.01462,                0.89565,                      1,                0.43939,             0.00013437,             0.00013437,             0.00013437
                    126,                0.01004,                0.91304,                      1,                0.41327,             0.00012966,             0.00012966,             0.00012966
                    127,                0.03603,                0.91304,                      1,                0.39059,             0.00012495,             0.00012495,             0.00012495
                    128,                0.01975,                0.86087,                      1,                0.43076,             0.00012024,             0.00012024,             0.00012024
                    129,                0.03015,                0.86957,                      1,                0.41959,             0.00011553,             0.00011553,             0.00011553
                    130,                0.00859,                0.89565,                      1,                0.41122,             0.00011081,             0.00011081,             0.00011081
                    131,                0.01323,                0.87826,                      1,                0.46298,              0.0001061,              0.0001061,              0.0001061
                    132,                0.04378,                0.86957,                      1,                0.42087,             0.00010139,             0.00010139,             0.00010139
                    133,                0.00917,                0.83478,                      1,                0.44064,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    134,                0.02926,                0.87826,                      1,                0.41345,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    135,                0.02628,                0.85217,                      1,                  0.427,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    136,                  0.027,                0.85217,                      1,                0.45291,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    137,                0.02844,                0.88696,                      1,                0.42831,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    138,                 0.0106,                0.86957,                      1,                0.41965,             7.3114e-05,             7.3114e-05,             7.3114e-05
                    139,                 0.0239,                0.86087,                      1,                0.46768,             6.8401e-05,             6.8401e-05,             6.8401e-05
                    140,                0.02255,                0.85217,                      1,                0.46283,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    141,                0.01808,                0.83478,                      1,                0.50235,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    142,                0.01222,                0.83478,                      1,                0.48364,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    143,                0.03333,                0.85217,                      1,                0.48911,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    144,                0.01108,                0.85217,                      1,                0.46375,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    145,                0.01373,                0.85217,                      1,                0.42993,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    146,                0.02402,                0.86087,                      1,                0.43222,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    147,                0.00994,                0.88696,                      1,                0.40399,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    148,                0.01248,                0.89565,                      1,                0.45242,              2.599e-05,              2.599e-05,              2.599e-05
                    149,                0.01277,                0.90435,                      1,                0.40759,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    150,                 0.0143,                0.86087,                      1,                0.44629,             1.6565e-05,             1.6565e-05,             1.6565e-05
