                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.01911,                0.90435,                      1,                0.46957,             0.00028046,             0.00028046,             0.00028046
                     95,                0.01698,                0.90435,                      1,                0.39136,             0.00027575,             0.00027575,             0.00027575
                     96,                0.03039,                0.89565,                      1,                0.40616,             0.00027103,             0.00027103,             0.00027103
                     97,                0.04804,                0.84348,                      1,                0.44791,             0.00026632,             0.00026632,             0.00026632
                     98,                0.03686,                0.86087,                      1,                0.45325,             0.00026161,             0.00026161,             0.00026161
                     99,                0.02008,                0.84348,                      1,                0.44131,              0.0002569,              0.0002569,              0.0002569
                    100,                  0.017,                0.87826,                      1,                0.41901,             0.00025218,             0.00025218,             0.00025218
                    101,                0.03772,                0.84348,                      1,                0.49515,             0.00024747,             0.00024747,             0.00024747
                    102,                 0.0365,                0.85217,                      1,                0.44565,             0.00024276,             0.00024276,             0.00024276
                    103,                0.03164,                0.88696,                      1,                0.45047,             0.00023805,             0.00023805,             0.00023805
                    104,                0.03751,                0.84348,                      1,                0.48029,             0.00023334,             0.00023334,             0.00023334
                    105,                 0.0289,                 0.8087,                      1,                0.46729,             0.00022862,             0.00022862,             0.00022862
                    106,                0.02856,                0.82609,                      1,                 0.4613,             0.00022391,             0.00022391,             0.00022391
                    107,                0.01913,                0.83478,                      1,                0.44907,              0.0002192,              0.0002192,              0.0002192
                    108,                0.05349,                0.87826,                      1,                0.41571,             0.00021449,             0.00021449,             0.00021449
                    109,                 0.0223,                0.86957,                      1,                0.43015,             0.00020977,             0.00020977,             0.00020977
                    110,                0.01267,                0.82609,                      1,                0.48578,             0.00020506,             0.00020506,             0.00020506
                    111,                0.02459,                0.82609,                      1,                0.49069,             0.00020035,             0.00020035,             0.00020035
                    112,                0.01716,                0.84348,                      1,                0.45459,             0.00019564,             0.00019564,             0.00019564
                    113,                0.01406,                0.83478,                      1,                 0.4454,             0.00019092,             0.00019092,             0.00019092
                    114,                0.00596,                0.86087,                      1,                0.43335,             0.00018621,             0.00018621,             0.00018621
                    115,                0.00947,                0.82609,                      1,                0.46466,              0.0001815,              0.0001815,              0.0001815
                    116,                0.01893,                0.82609,                      1,                0.46048,             0.00017679,             0.00017679,             0.00017679
                    117,                0.01602,                0.83478,                      1,                0.47195,             0.00017207,             0.00017207,             0.00017207
                    118,                0.01292,                 0.8087,                      1,                0.46793,             0.00016736,             0.00016736,             0.00016736
                    119,                0.01525,                    0.8,                      1,                0.53564,             0.00016265,             0.00016265,             0.00016265
                    120,                 0.0212,                0.86957,                      1,                0.43341,             0.00015794,             0.00015794,             0.00015794
                    121,                0.02057,                0.86087,                      1,                0.47284,             0.00015322,             0.00015322,             0.00015322
                    122,                0.01181,                    0.8,                      1,                0.51059,             0.00014851,             0.00014851,             0.00014851
                    123,                0.01086,                0.82609,                      1,                0.46713,              0.0001438,              0.0001438,              0.0001438
                    124,                0.00876,                0.82609,                      1,                0.47885,             0.00013909,             0.00013909,             0.00013909
                    125,                0.00734,                0.82609,                      1,                0.48956,             0.00013437,             0.00013437,             0.00013437
                    126,                0.01474,                0.82609,                      1,                0.48477,             0.00012966,             0.00012966,             0.00012966
                    127,                0.01255,                0.81739,                      1,                0.49026,             0.00012495,             0.00012495,             0.00012495
                    128,                0.04108,                0.81739,                      1,                0.47217,             0.00012024,             0.00012024,             0.00012024
                    129,                0.01097,                0.83478,                      1,                0.45456,             0.00011553,             0.00011553,             0.00011553
                    130,                0.01289,                0.85217,                      1,                0.47314,             0.00011081,             0.00011081,             0.00011081
                    131,                0.01564,                0.85217,                      1,                0.43024,              0.0001061,              0.0001061,              0.0001061
                    132,                0.01485,                0.83478,                      1,                0.48413,             0.00010139,             0.00010139,             0.00010139
                    133,                 0.0042,                0.81739,                      1,                0.47424,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    134,                0.01473,                 0.8087,                      1,                 0.4693,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    135,                0.00632,                 0.8087,                      1,                0.48218,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    136,                 0.0235,                0.85217,                      1,                0.46875,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    137,                0.02036,                0.84348,                      1,                0.47241,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    138,                0.00996,                0.84348,                      1,                 0.4447,             7.3114e-05,             7.3114e-05,             7.3114e-05
                    139,                 0.0053,                0.82609,                      1,                0.48764,             6.8401e-05,             6.8401e-05,             6.8401e-05
