id,cyto_area,pb_area,area_ratio
31-1,95073.0,2604.0,0.027389479662995802
31-2,99416.5,1946.5,0.019579244893956235
31-3,104036.5,1993.5,0.019161544265714436
31-4,101482.0,1712.0,0.016869986795687904
32-1,85509.5,2340.5,0.027371227758319253
32-2,99446.5,3376.0,0.03394790163555279
32-3,88739.0,3823.5,0.043087030505189375
32-4,91159.0,3236.5,0.03550389977950614
32-5,81749.5,2441.5,0.029865626089456206
32-6,89282.0,2403.5,0.02692031988530723
32-7,89023.0,2757.5,0.030975141255630567
33-1,99920.0,3251.0,0.03253602882305845
33-2,102505.5,2457.0,0.02396944554194653
33-3,100434.5,3826.0,0.03809447948663059
33-4,99353.5,4040.5,0.04066791809045479
34-1,91298.0,2846.5,0.031178120002628755
35-1,106893.5,3477.5,0.03253238035989092
35-2,93807.5,8432.5,0.08989153319297498
36-10,92116.0,2855.5,0.03099895783577229
36-11,89593.5,1908.0,0.021296187781479684
36-12,87219.0,2667.5,0.03058393240005045
36-13,99075.5,2041.0,0.020600451171076603
36-14,97263.0,2381.5,0.024485158796253455
36-15,99331.5,2425.0,0.024413202257088637
36-16,93360.0,2172.5,0.02327013710368466
36-17,97104.5,2231.5,0.02298039740691729
36-18,96978.5,-,-
36-19,98322.0,2702.0,0.027481133418766908
36-1,101551.5,1760.0,0.01733110786152839
36-20,99588.5,229468.0,2.304161625087234
36-21,91893.0,2287.5,0.024893082171656165
36-22,97128.0,2172.5,0.022367391483403345
36-23,103646.5,2953.5,0.028495897111817572
36-24,141261.0,4239.5,0.03001182208819136
36-25,162321.0,5160.0,0.0317888628088787
36-26,132322.0,2927.0,0.02212028234156074
36-27,154053.5,4734.5,0.030732829828598505
36-2,90259.5,2589.5,0.028689500828167673
36-3,99323.5,2367.0,0.02383121819106254
36-4,104735.5,1960.0,0.01871380763924362
36-5,95545.0,1777.0,0.018598566120676122
36-6,100998.0,2406.0,0.02382225390601794
36-7,97570.5,2853.0,0.029240395406398452
36-8,99168.0,2655.0,0.026772749273959343
36-9,94017.5,2737.0,0.029111601563538703
37-1,95539.0,2573.5,0.026936643674311013
37-2,93746.0,2967.0,0.03164935037228255
37-3,94333.0,3468.5,0.03676868116141753
37-4,89964.0,3466.0,0.038526521719799034
37-5,92357.5,2116.0,0.022910970955255395
38-1,103229.5,3612.0,0.03498999801413356
38-2,97073.5,2436.5,0.025099537978954093
39-1,104956.0,2053.0,0.019560577765920958
39-2,104720.5,2279.0,0.021762692118544126
39-3,104179.0,2144.0,0.02057996333234145
39-4,100599.5,2464.0,0.024493163484907977
39-5,96319.0,2299.0,0.02386860328699426
39-6,95817.0,1297.0,0.013536220086205997
39-7,98123.0,1886.5,0.019225869571863886
39-8,102620.5,2086.5,0.020332194834365453
39-9,104334.0,1819.0,0.01743439339045757
4-10,106229.5,2189.5,0.020611035540974966
4-1,99969.0,2596.5,0.025973051646010263
4-2,110583.0,2290.5,0.020712948644909253
4-3,102763.5,2929.0,0.028502337892345044
4-4,101265.0,2127.5,0.02100923320001975
4-5,104439.5,2775.5,0.026575194251217214
4-6,95261.0,1663.0,0.017457301518984683
4-7,103982.0,2665.0,0.02562943586389952
4-8,104319.0,2234.5,0.02141987557396064
4-9,106629.5,2530.5,0.02373170651648934
40-10,104492.5,3082.5,0.029499724860635932
40-1,97549.5,2868.5,0.029405583831798216
40-2,98423.5,4130.0,0.041961523416663704
40-3,101366.0,2883.0,0.02844148925675276
40-4,99948.0,1898.5,0.01899487733621483
40-5,104455.0,3887.0,0.03721219663970131
40-6,110639.0,3903.0,0.035276891512034635
40-7,101720.0,3419.5,0.033616791191506096
40-8,102079.5,2256.0,0.02210042173012211
40-9,111256.0,2252.0,0.020241604947148918
41-1,96701.5,1544.0,0.015966660289654246
41-2,98650.5,2872.0,0.02911287829255807
41-3,103859.0,3019.0,0.02906825600092433
42-1,98014.5,2945.5,0.03005167602752654
42-2,94815.0,3661.5,0.03861730738807151
43-1,91022.5,2348.5,0.0258013128622044
43-2,99252.5,3167.5,0.03191355381476537
44-1,90928.0,4067.5,0.04473319549533697
44-2,94000.5,3222.5,0.03428173254397583
44-3,94864.5,2453.5,0.025863204886970362
44-4,84243.5,1630.0,0.01934867378492109
44-5,89932.5,2893.5,0.032174130597948464
44-6,96465.0,3071.5,0.031840563935105995
45-1,109630.0,2794.5,0.02549028550579221
45-2,111331.5,2464.0,0.02213210097771071
45-3,100078.0,2402.5,0.024006275105417776
45-4,103875.5,5372.5,0.05172056933540633
45-5,120932.0,4247.0,0.03511890980054907
5-1,88294.0,2862.0,0.0324144335968469
5-2,91658.5,2956.0,0.03225014592209124
6-10,96081.5,3049.5,0.031738680182969665
6-11,106755.0,2666.0,0.024973069177087723
6-12,100784.5,3821.5,0.03791753692284032
6-13,101288.5,1474.0,0.014552491151512758
6-14,105396.0,3230.0,0.03064632433868458
6-15,102026.0,2596.0,0.025444494540607297
6-16,100611.0,2125.0,0.021120950989454434
6-17,101451.5,4142.5,0.040832318891292886
6-18,102354.0,2535.0,0.02476698516911894
6-19,98700.5,2768.0,0.0280444374648558
6-1,98289.5,-,-
6-20,101950.5,3272.0,0.032094006405069125
6-2,97030.0,3144.5,0.032407502834175
6-3,104206.0,3503.5,0.03362090474636777
6-4,95558.0,3491.0,0.036532786370581216
6-5,107569.0,3582.5,0.033304204743002164
6-6,100966.5,2710.0,0.026840585738834168
6-7,97163.5,2741.0,0.028210181806954258
6-8,100483.0,4100.5,0.04080789785336823
6-9,105013.5,2827.0,0.026920348336166303
7-1,98260.0,2831.0,0.028811316914308976
7-2,101841.5,2929.5,0.028765287235557213
8-10,88930.0,2594.0,0.029169009333183404
8-11,101091.5,-,-
8-12,92999.0,3490.0,0.03752728523962623
8-13,96644.5,2902.5,0.03003274888896937
8-14,90825.0,2136.0,0.0235177539223782
8-15,98178.0,2744.0,0.027949235062845038
8-16,81239.0,1794.0,0.02208298969706668
8-17,96662.0,1145.0,0.01184539943307608
8-18,96510.5,1588.0,0.0164541681993151
8-19,88449.0,2606.0,0.029463306538231072
8-1,96684.0,2440.5,0.025242025567829215
8-20,98760.5,2422.0,0.024523974665984882
8-2,101006.0,2503.5,0.024785656297645686
8-3,93719.0,4099.0,0.043737129077348245
8-4,100212.5,-,-
8-5,94256.5,2564.0,0.027202368006450484
8-6,96601.0,2226.5,0.02304841564787114
8-7,95529.5,-,-
8-8,97421.0,2374.0,0.024368462651789654
8-9,95372.5,2895.0,0.0303546619832761
9-1,103142.5,2065.0,0.020020844947524055
9-2,94428.5,3105.5,0.03288731685878734
9-3,95429.5,2239.5,0.02346758601899832
9-4,89251.5,3521.0,0.03945031736161297
9-5,91654.0,2938.0,0.03205533855587318
9-6,88890.5,2342.0,0.02634702246021791
