id,cyto_area,pb_area,area_ratio
20-1-f,94104.5,3750.0,0.0398493164513918
20-1,94189.0,3717.0,0.039463206956226314
20-2-f,97081.5,3575.5,0.03682988004923698
20-2,97081.5,3575.5,0.03682988004923698
20-3-f,98499.5,2621.5,0.026614348296184243
20-3,98499.5,2621.5,0.026614348296184243
20-4-f,98918.5,2617.5,0.026461177636134797
20-4,98918.5,2617.5,0.026461177636134797
20-5-f,93499.5,3149.0,0.03367932448836625
20-5,93499.5,3149.0,0.03367932448836625
20-6-f,77879.5,2553.0,0.03278141231004308
20-6,77879.5,2553.0,0.03278141231004308
20-7-f,108276.0,3094.0,0.028575122834238426
20-7,108239.0,3094.0,0.02858489084341134
20-8-f,87867.0,1694.5,0.01928482820626629
20-8,87868.0,1694.5,0.019284608731278737
20-9-f,82897.5,2588.0,0.03121927681775687
20-9,82897.5,2588.0,0.03121927681775687
21-1-f,100379.0,3163.5,0.03151555604259855
21-1,100379.0,3179.0,0.03166997081062772
21-2-f,84679.0,3074.0,0.03630179855690313
21-2,84716.0,3074.0,0.03628594362340054
21-3-f,96303.5,4457.0,0.0462807686117327
21-3,96263.5,4474.0,0.04647659808754097
21-4-f,97917.5,2227.5,0.022748742563893073
21-4,97917.5,2227.5,0.022748742563893073
21-5-f,92069.5,3920.5,0.04258196253916878
21-5,92069.5,3920.5,0.04258196253916878
21-6-f,93304.0,1384.5,0.014838592128954815
21-6,93267.0,1384.5,0.014844478754543408
21-7-f,95047.0,1499.0,0.015771144802045303
21-7,95014.0,1499.0,0.015776622392489528
21-8-f,92698.5,2139.0,0.023074807035712554
21-8,92698.5,2139.0,0.023074807035712554
21-9-f,94206.0,1912.0,0.020295947179585164
21-9,94167.5,1912.0,0.02030424509517615
22-1-f,93857.5,2116.0,0.022544815278480675
22-1,93857.5,2116.0,0.022544815278480675
22-3-f,87488.0,2539.0,0.029021122896854427
22-3,87488.0,2539.0,0.029021122896854427
23-1-f,84051.0,-,-
23-1,84082.0,-,-
23-2-f,90256.5,5158.5,0.05715377839823171
23-2,90256.5,5137.0,0.0569155684078155
23-3-f,90256.0,2057.5,0.022796268392129056
23-3,90256.0,2057.5,0.022796268392129056
24-1-f,100205.0,2410.0,0.024050696073050246
24-1,100205.0,2410.0,0.024050696073050246
24-2-f,104845.0,2419.5,0.023076923076923078
24-2,104845.0,2419.5,0.023076923076923078
24-3-f,100089.5,2506.5,0.02504258688473816
24-3,100126.5,2493.0,0.024898503393207594
24-4-f,101554.0,2811.0,0.02767985505248439
24-4,101557.0,2811.0,0.02767903738787085
24-5-f,98261.0,2306.5,0.02347319892938195
24-5,98261.0,2306.5,0.02347319892938195
24-6-f,96971.5,2695.0,0.02779167074862202
24-6,97016.0,2695.0,0.027778923064236828
24-7-f,99830.0,7.5,7.512771711910248e-05
24-7,99830.0,7.5,7.512771711910248e-05
24-8-f,111039.0,3275.5,0.029498644620358613
24-8,111039.0,3275.5,0.029498644620358613
25-1-f,96348.0,3160.5,0.032802964254577155
25-1,96319.5,3160.5,0.0328126703315528
25-2-f,104822.0,3193.0,0.030461162733014063
25-2,104822.0,3193.0,0.030461162733014063
25-3-f,95160.0,2029.0,0.02132198402690206
25-3,95123.0,2029.0,0.02133027764052858
25-4-f,97019.0,2279.0,0.02349024417897525
25-4,97019.0,2279.0,0.02349024417897525
